Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N67058	29453	BOEING	767-424ER	Fixed Wing Multi-Engine	None	None	2002	Corporation	01/24/2002	04/30/2019	Turbo-fan	No	52157340	NO	GE	CF6-80 SERIES	01/23/2002	Standard	Transport	Yes
N6705Y	30397	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	04/10/2000	03/31/2020	Turbo-fan	No	52157326	NO	P & W	PW2037	04/05/2000	Standard	Transport	Yes
N6706Q	30422	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	05/04/2000	06/30/2020	Turbo-fan	No	52157361	NO	P & W	PW2037	05/02/2000	Standard	Transport	Yes
N6707A	30395	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	06/02/2000	08/31/2020	Turbo-fan	No	52157406	NO	P & W	PW2037	05/31/2000	Standard	Transport	Yes
N6708D	30480	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	07/21/2000	12/31/2020	Turbo-fan	No	52157454	NO	P & W	PW2037	07/19/2000	Standard	Transport	Yes
N6709	30481	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	08/11/2000	02/28/2021	Turbo-fan	No	52157513	NO	P & W	PW2037	08/09/2000	Standard	Transport	Yes
N670DN	25331	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	01/10/1991	06/30/2019	Turbo-fan	No	52156020	NO	P & W	PW2037	12/20/1991	Standard	Transport	No
N670MC	47659	MCDONNELL DOUGLAS	DC-9-51	Fixed Wing Multi-Engine	None	None	1976	Corporation	12/31/2009	05/31/2019	Turbo-jet	No	52156316	NO	P & W	JT8D-17 SER	10/03/1983	Standard	Transport	No
N670SW	23784	BOEING	737-3G7	Fixed Wing Multi-Engine	None	None	1988	Corporation	09/22/2015	09/30/2021	Turbo-fan	No	52156535	NO	CFM INTL.	CFM56 SERIES	06/05/1993	Standard	Transport	No
N670UA	29240	BOEING	767-322	Fixed Wing Multi-Engine	None	None	None	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52156573	NO	Unknown	Unknown	04/11/1998	Unknown	None	No
N671	L4-596	CENTRAL COPTERS INC	LANCAIR IV-P PROPJET	Fixed Wing Single-Engine	None	None	2012	Corporation	05/09/2012	05/31/2021	Turbo-prop	No	52157556	NO	ALLIEDSIGN	TPE331-6	11/13/2012	Experimental	Amateur Built	No
N6710E	30482	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	08/29/2000	02/28/2021	Turbo-fan	No	52160714	NO	P & W	PW2037	08/25/2000	Standard	Transport	Yes
N6711M	30483	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	10/02/2000	08/31/2021	Turbo-fan	No	52160766	NO	P & W	PW2037	09/27/2000	Standard	Transport	Yes
N6712B	30484	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	10/03/2000	08/31/2021	Turbo-fan	No	52161017	NO	P & W	PW2037	09/30/2000	Standard	Transport	Yes
N67134	29283	BOEING	757-224	Fixed Wing Multi-Engine	None	None	1999	Corporation	02/04/1999	08/31/2019	Turbo-fan	No	52161115	NO	ROLLS-ROYC	RB.211 SERIES	04/18/2005	Standard	Transport	Yes
N6713Y	30777	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	11/01/2000	11/30/2018	Turbo-fan	No	52161107	NO	P & W	PW2037	10/31/2000	Standard	Transport	Yes
N6714Q	30485	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2000	Corporation	12/21/2000	05/31/2019	Turbo-fan	No	52161142	NO	P & W	PW2037	12/19/2000	Standard	Transport	Yes
N6715C	30486	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2001	Corporation	02/15/2001	09/30/2019	Turbo-fan	No	52161171	NO	P & W	PW2037	02/13/2001	Standard	Transport	Yes
N6716C	30838	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2001	Corporation	03/13/2001	12/31/2019	Turbo-fan	No	52161234	NO	P & W	PW2037	03/09/2001	Standard	Transport	Yes
N67171	30839	BOEING	757-232	Fixed Wing Multi-Engine	None	None	2001	Corporation	04/13/2001	03/31/2020	Turbo-fan	No	52161326	NO	P & W	PW2037	04/06/2001	Standard	Transport	Yes
N671AE	145793	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/16/2011	09/30/2020	Turbo-fan	No	52157564	NO	ROLLS-ROYC	AE3007 SER	03/25/2004	Standard	Transport	No
N671DN	25332	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	01/13/1992	06/30/2019	Turbo-fan	No	52157707	NO	P & W	PW2037	01/03/1992	Standard	Transport	No
N671UA	30026	BOEING	767-322	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52160462	NO	P&W	PW4000 SER	09/23/1999	Standard	Transport	Yes
N671US	26477	BOEING	747-451	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/13/1999	02/29/2020	Turbo-fan	No	52160502	NO	P&W	PW4000 SER	03/28/1999	Standard	Transport	Yes
N672	5921	CESSNA	T-50	Fixed Wing Multi-Engine	None	None	1944	Corporation	07/26/2001	11/30/2020	Reciprocating	No	52161445	NO	JACOBS	L4 /R755-7	10/02/1957	Standard	None	No
N672AE	145794	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/19/2011	09/30/2020	Turbo-fan	No	52161453	NO	ROLLS-ROYC	AE3007 SER	04/16/2004	Standard	Transport	No
N672DL	25977	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	02/24/1992	09/30/2019	Turbo-fan	No	52161574	NO	P & W	PW2037	02/21/1992	Standard	Transport	No
N672UA	30027	BOEING	767-322	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52162351	NO	P&W	PW4000 SER	12/21/1999	Standard	Transport	Yes
N672US	30267	BOEING	747-451	Fixed Wing Multi-Engine	None	None	1999	Corporation	04/26/2018	04/30/2021	Turbo-fan	No	52162371	NO	P&W	PW4000 SER	07/16/1999	Standard	Transport	Yes
N673	18263416	CESSNA	182P	Fixed Wing Single-Engine	None	None	1974	Corporation	10/07/2004	07/31/2021	Reciprocating	No	52163334	NO	CONT MOTOR	O-470 SERIES	11/12/1974	Standard	Normal	No
N673AE	145797	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/23/2011	09/30/2020	Turbo-fan	No	52163342	NO	ROLLS-ROYC	AE3007 SER	04/16/2004	Standard	Transport	No
N673AW	2312	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	None	Corporation	06/14/2007	07/31/2020	Turbo-fan	No	52163362	NO	Unknown	Unknown	None	Unknown	None	No
N673DL	25978	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	02/25/1992	09/30/2019	Turbo-fan	No	52163463	NO	P & W	PW2040	02/24/1992	Standard	Transport	No
N673UA	29241	BOEING	767-322	Fixed Wing Multi-Engine	None	None	2000	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52164240	NO	P&W	PW4000 SER	01/10/2000	Standard	Transport	Yes
N673US	30268	BOEING	747-451	Fixed Wing Multi-Engine	None	None	1999	Corporation	02/15/2017	02/29/2020	Turbo-fan	No	52164260	NO	P&W	PW4000 SER	08/24/1999	Standard	Transport	Yes
N674DL	25979	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	03/26/1992	12/31/2019	Turbo-fan	No	52165352	NO	P & W	PW2037	03/25/1992	Standard	Transport	No
N674UA	29242	BOEING	767-322	Fixed Wing Multi-Engine	None	None	2000	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52166127	NO	AMA/EXPR	UNKNOWN ENG	04/04/2000	Standard	Transport	Yes
N674US	30269	BOEING	747-451	Fixed Wing Multi-Engine	None	None	1999	Corporation	02/07/2017	02/29/2020	Turbo-fan	No	52166147	NO	P&W	PW4000 SER	10/17/1999	Standard	Transport	Yes
N675AE	14500806	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/23/2011	09/30/2020	Turbo-fan	No	52167120	NO	ROLLS-ROYC	AE3007 SER	05/19/2004	Standard	Transport	No
N675BR	7635	BOMBARDIER INC	CL-600-2B19	Fixed Wing Multi-Engine	None	None	2002	Corporation	04/07/2010	02/29/2020	Turbo-fan	No	52167164	NO	GE	CF34-3B1	05/29/2002	Standard	Transport	No
N675DL	25980	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	05/18/2018	05/31/2021	Turbo-fan	No	52167241	NO	P & W	PW2037	04/29/1992	Standard	Transport	No
N675MC	47651	MCDONNELL DOUGLAS	DC-9-51	Fixed Wing Multi-Engine	None	None	1975	Corporation	12/31/2009	05/31/2019	Turbo-jet	No	52167541	NO	Unknown	Unknown	04/03/1985	Standard	Transport	No
N675UA	29243	BOEING	767-322	Fixed Wing Multi-Engine	None	None	2000	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52170016	NO	P&W	PW4000 SER	07/28/2000	Standard	Transport	Yes
N676	468	GLASFLUGEL	STD LIBELLE 201B	Glider	None	None	1973	Individual	04/28/2015	04/30/2021	None	No	52171001	NO	NONE	NONE	12/20/1973	Standard	Glider	No
N676AE	14500807	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/14/2011	09/30/2020	Turbo-fan	No	52171007	NO	ROLLS-ROYC	AE3007 SER	05/21/2004	Standard	Transport	No
N676CA	15127	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/17/2012	10/31/2021	Turbo-fan	No	52171065	NO	GE	CF34-8C5	08/24/2007	Standard	Transport	Yes
N676DL	25981	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	06/03/1992	08/31/2020	Turbo-fan	No	52171130	NO	P & W	PW2037	05/28/1992	Standard	Transport	No
N676MC	47652	MCDONNELL DOUGLAS	DC-9-51	Fixed Wing Multi-Engine	None	None	1975	Corporation	12/31/2009	05/31/2019	Turbo-jet	No	52171430	NO	P & W	JT8D-17 SER	03/25/1985	Standard	Transport	No
N676UA	30028	BOEING	767-322	Fixed Wing Multi-Engine	None	None	2001	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52171705	NO	P&W	PW4000 SER	04/22/2001	Standard	Transport	Yes
N676US	40.676	DIAMOND AIRCRAFT IND INC	DA 40	Fixed Wing Single-Engine	None	None	2006	Individual	01/29/2007	04/30/2019	Reciprocating	No	52171725	NO	LYCOMING	IO-360-MIA+	08/21/2006	Standard	Normal	No
N677AE	14500810	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/16/2011	09/30/2020	Turbo-fan	No	52172676	NO	ROLLS-ROYC	AE3007 SER	05/26/2004	Standard	Transport	No
N677DL	25982	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	05/26/1992	06/30/2020	Turbo-fan	No	52173017	NO	P & W	PW2037	05/22/1992	Standard	Transport	No
N677MC	47756	MCDONNELL DOUGLAS	DC-9-51	Fixed Wing Multi-Engine	None	None	1977	Corporation	12/31/2009	05/31/2019	Turbo-jet	No	52173317	NO	P & W	JT8D-17 SER	06/13/1985	Standard	Transport	No
N677UA	30029	BOEING	767-322	Fixed Wing Multi-Engine	None	None	2001	Corporation	04/01/2013	04/30/2019	Turbo-fan	No	52173574	NO	P&W	PW4000 SER	09/21/2001	Standard	Transport	Yes
N677US	PH645492983	DJI	PHANTOM 2 VISION +	Rotorcraft	None	None	None	Corporation	06/01/2016	06/30/2019	Electric	No	52173614	NO	Unknown	Unknown	None	Unknown	None	No
N678	27003	MIKOYAN GUREVICH	MIG 15UTI	Fixed Wing Single-Engine	None	None	None	Individual	08/29/2016	08/31/2019	Turbo-jet	No	52174557	NO	KLIMOV	VK-1A	09/14/2000	Experimental	Exhibition	No
N67812	43530	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	01/24/2014	01/31/2020	Turbo-fan	No	52176006	NO	CFM INTL	CFM56-7B27E	01/22/2014	Standard	Transport	Yes
N67815	43532	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	02/25/2014	02/29/2020	Turbo-fan	No	52176011	NO	CFM INTL	CFM56-7B27E	02/21/2014	Standard	Transport	Yes
N67827	44581	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	06/13/2014	06/30/2020	Turbo-fan	No	52176056	NO	CFM INTL	CFM56-7B27E	06/11/2014	Standard	Transport	Yes
N67845	42185	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	02/20/2015	02/28/2021	Turbo-fan	No	52176162	NO	CFM INTL	CFM56-7B27E	02/18/2015	Standard	Transport	Yes
N67846	42186	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	02/25/2015	02/28/2021	Turbo-fan	No	52176163	NO	CFM INTL	CFM56-7B27E	02/23/2015	Standard	Transport	Yes
N678AE	14500813	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/20/2011	09/30/2020	Turbo-fan	No	52174565	NO	ROLLS-ROYC	AE3007 SER	06/10/2004	Standard	Transport	No
N678CA	15125	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/23/2012	10/31/2021	Turbo-fan	No	52174643	NO	GE	CF34-8C5	09/10/2007	Standard	Transport	Yes
N678DL	25983	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	06/29/1992	08/31/2020	Turbo-fan	No	52174706	NO	P & W	PW2037	06/26/1992	Standard	Transport	No
N679AW	2613	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/05/2005	01/31/2022	Turbo-fan	No	52176474	NO	IAE	V2500SERIES	12/06/2005	Standard	Transport	No
N679CA	15132	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/16/2012	10/31/2021	Turbo-fan	No	52176532	NO	GE	CF34-8C5	09/25/2007	Standard	Transport	Yes
N679DA	26955	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	11/13/1992	11/30/2018	Turbo-fan	No	52176563	NO	P & W	PW2037	11/12/1992	Standard	Transport	No
N679SA	7652	BOMBARDIER INC	CL-600-2B19	Fixed Wing Multi-Engine	None	None	None	Corporation	01/26/2017	01/31/2020	Turbo-fan	No	52177270	NO	Unknown	Unknown	None	Unknown	None	No
N68061	29456	BOEING	767-424ER	Fixed Wing Multi-Engine	None	None	2002	Corporation	03/13/2002	10/31/2019	Turbo-fan	No	52203173	NO	GE	CF6-80 SERIES	03/08/2002	Standard	Transport	Yes
N680AE	14500820	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/15/2011	09/30/2020	Turbo-fan	No	52201474	NO	ROLLS-ROYC	AE3007 SER	06/30/2004	Standard	Transport	No
N680AW	2630	AIRBUS	A320-232	Fixed Wing Multi-Engine	None	None	2005	Corporation	12/20/2005	01/31/2022	Turbo-fan	No	52201514	NO	IAE	V2500SERIES	12/21/2005	Standard	Transport	No
N680DA	26956	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1992	Corporation	11/20/1992	11/30/2018	Turbo-fan	No	52201603	NO	P & W	PW2037	11/19/1992	Standard	Transport	No
N681DA	26957	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1993	Corporation	04/10/2017	04/30/2020	Turbo-fan	No	52203472	NO	P & W	PW2037	01/22/1993	Standard	Transport	No
N682DA	26958	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1993	Corporation	04/10/2017	04/30/2020	Turbo-fan	No	52205361	NO	P & W	PW2037	01/15/1993	Standard	Transport	No
N683DA	27103	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1993	Corporation	07/10/2018	07/31/2021	Turbo-fan	No	52207250	NO	P & W	PW2037	03/18/1993	Standard	Transport	No
N68452	40005	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2012	Corporation	05/10/2012	05/31/2021	Turbo-fan	No	52212465	NO	CFM INTL	CFM56-7B26E	05/07/2012	Standard	Transport	Yes
N68453	41742	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2012	Corporation	05/30/2012	05/31/2021	Turbo-fan	No	52212466	NO	CFM INTL	CFM56-7B26E	05/29/2012	Standard	Transport	Yes
N684DA	27104	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1993	Corporation	01/12/2016	01/31/2019	Turbo-fan	No	52211137	NO	P & W	PW2037	03/26/1993	Standard	Transport	No
N684JW	14500835	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	10/04/2011	10/31/2020	Turbo-fan	No	52211360	NO	ROLLS-ROYC	AE3007 SER	08/11/2004	Standard	Transport	No
N684WN	23941	BOEING	737-3TO	Fixed Wing Multi-Engine	None	None	1988	Corporation	09/30/2013	09/30/2019	Turbo-fan	No	52212024	NO	CFM INTL.	CFM56 SERIES	11/11/1992	Standard	Transport	No
N685AE	14500836	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	09/20/2011	09/30/2020	Turbo-fan	No	52212717	NO	ROLLS-ROYC	AE3007 SER	08/18/2004	Standard	Transport	No
N685BR	7712	BOMBARDIER INC	CL-600-2B19	Fixed Wing Multi-Engine	None	None	2002	Corporation	08/17/2010	03/31/2021	Turbo-fan	No	52212763	NO	GE	CF34 SERIES	12/04/2002	Standard	Transport	No
N685DA	27588	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1995	Corporation	03/31/1995	12/31/2019	Turbo-fan	No	52213026	NO	P & W	PW2037	03/31/1995	Standard	Transport	Yes
N685SW	23401	BOEING	737-3Q8	Fixed Wing Multi-Engine	None	None	1986	Corporation	09/19/2016	09/30/2019	Turbo-fan	No	52213557	NO	CFM INTL.	CFM56 SERIES	06/10/1993	Standard	Transport	No
N686DA	27589	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1995	Corporation	09/21/1995	05/31/2021	Turbo-fan	No	52214715	NO	P & W	PW2037	09/20/1995	Standard	Transport	Yes
N687	1A02005	MIKOYAN GUREVICH	MIG 15UTI	Fixed Wing Single-Engine	None	None	1953	Corporation	05/09/2011	05/31/2020	Turbo-jet	No	52216467	NO	KLIMOV	VK-1A	08/25/2006	Experimental	Exhibition	No
N687DL	27586	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/05/1998	06/30/2020	Turbo-fan	No	52216616	NO	Unknown	Unknown	None	Unknown	None	No
N687JS	14500846	EMBRAER	EMB-145LR	Fixed Wing Multi-Engine	None	None	2004	Corporation	10/04/2011	10/31/2020	Turbo-fan	No	52217021	NO	ROLLS-ROYC	AE3007 SER	09/17/2004	Standard	Transport	No
N687SW	23388	BOEING	737-3Q8	Fixed Wing Multi-Engine	None	None	1986	Corporation	12/15/2015	12/31/2021	Turbo-fan	No	52217335	NO	CFM INTL.	CFM56 SERIES	09/03/1993	Standard	Transport	No
N68801	42740	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	08/01/2013	08/31/2019	Turbo-fan	No	52221541	NO	CFM INTL	CFM56-7B27E	07/30/2013	Standard	Transport	Yes
N68802	42739	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	09/24/2013	09/30/2019	Turbo-fan	No	52221542	NO	CFM INTL	CFM56-7B27E	09/20/2013	Standard	Transport	Yes
N68805	42818	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	10/18/2013	10/31/2019	Turbo-fan	No	52221545	NO	CFM INTL	CFM56-7B27E	09/27/2013	Standard	Transport	Yes
N68807	42819	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2013	Corporation	11/12/2013	11/30/2019	Turbo-fan	No	52221547	NO	CFM INTL	CFM56-7B27E	11/12/2013	Standard	Transport	Yes
N68811	42175	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	01/21/2014	01/31/2020	Turbo-fan	No	52221604	NO	CFM INTL	CFM56-7B27E	01/19/2014	Standard	Transport	Yes
N68817	42747	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	03/04/2014	03/31/2020	Turbo-fan	No	52221612	NO	CFM INTL	CFM56-7B27E	03/02/2014	Standard	Transport	Yes
N68821	43535	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	04/16/2014	04/30/2020	Turbo-fan	No	52221647	NO	CFM INTL	CFM56-7B27E	04/14/2014	Standard	Transport	Yes
N68822	42178	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	04/21/2014	04/30/2020	Turbo-fan	No	52221650	YES	CFM INTL	CFM56-7B27E	04/16/2014	Standard	Transport	Yes
N68823	42746	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	05/01/2014	05/31/2020	Turbo-fan	No	52221651	NO	CFM INTL	CFM56-7B27E	04/28/2014	Standard	Transport	Yes
N68834	44564	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	09/22/2014	09/30/2020	Turbo-fan	No	52221715	NO	CFM INTL	CFM56-7B27E	09/22/2014	Standard	Transport	Yes
N68836	60088	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2014	Corporation	10/15/2014	10/31/2020	Turbo-fan	No	52221717	NO	CFM INTL	CFM56-7B27E	10/13/2014	Standard	Transport	Yes
N68842	42183	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	01/29/2015	01/31/2021	Turbo-fan	No	52221756	NO	CFM INTL	CFM56-7B27E	01/27/2015	Standard	Transport	Yes
N68843	60317	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	02/10/2015	02/28/2021	Turbo-fan	No	52221757	NO	CFM INTL	CFM56-7B27E	02/06/2015	Standard	Transport	Yes
N68880	42199	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	04/27/2015	04/30/2021	Turbo-fan	No	52222170	NO	CFM INTL	CFM56-7B27E	04/23/2015	Standard	Transport	Yes
N68891	42196	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2015	Corporation	10/06/2015	10/31/2021	Turbo-fan	No	52222234	NO	CFM INTL	CFM56-7B27E	10/03/2015	Standard	Transport	Yes
N688DL	27587	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	05/22/1998	06/30/2020	Turbo-fan	No	52220505	NO	P & W	PW2037	05/20/1998	Standard	Transport	No
N689CA	15133	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/23/2012	10/31/2021	Turbo-fan	No	52222331	NO	GE	CF34-8C5	10/02/2007	Standard	Transport	Yes
N689DL	27172	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	06/18/1998	08/31/2020	Turbo-fan	No	52222374	NO	P & W	PW2037	06/18/1998	Standard	Transport	Yes
N690	282	DEHAVILLAND	DHC-2 MK. I(L20A)	Fixed Wing Single-Engine	None	None	1952	Corporation	12/02/1999	03/31/2019	Reciprocating	No	52225265	NO	P&W	R-985 SERIES	09/23/1996	Standard	Normal	No
N69059	29454	BOEING	767-424ER	Fixed Wing Multi-Engine	None	None	2002	Corporation	02/13/2002	08/31/2019	Turbo-fan	No	52226737	NO	GE	CF6-80 SERIES	02/11/2002	Standard	Transport	Yes
N69063	29458	BOEING	767-424ER	Fixed Wing Multi-Engine	None	None	2002	Corporation	04/03/2002	01/31/2020	Turbo-fan	No	52226774	NO	GE	CF6-80 SERIES	04/02/2002	Standard	Transport	Yes
N690DL	27585	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	06/29/1998	08/31/2020	Turbo-fan	No	52225414	NO	P & W	PW2037	06/26/1998	Standard	Transport	No
N691	3	RICE SPECIAL	3	Fixed Wing Single-Engine	None	None	1958	Individual	12/14/1981	04/30/2019	Reciprocating	No	52227154	NO	LYCOMING	0-290 SERIES	04/02/1979	Experimental	Amateur Built	No
N691CA	15136	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2007	Corporation	10/25/2012	10/31/2021	Turbo-fan	No	52227240	NO	GE	CF34-8C5	10/25/2007	Standard	Transport	Yes
N692	14-97	WARD	HP-14	Glider	None	None	1975	Individual	10/01/1974	07/31/2021	None	No	52231043	NO	NONE	NONE	12/06/1979	Experimental	Amateur Built	No
N692CA	15092	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	10/18/2012	10/31/2021	Turbo-fan	No	52231127	NO	GE	CF34-8C5	10/26/2007	Standard	Transport	Yes
N692DL	29724	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	09/04/1998	05/31/2021	Turbo-fan	No	52231172	NO	P & W	PW2037	09/03/1998	Standard	Transport	No
N693	71-20693	BELL	OH-58A	Rotorcraft	None	None	None	Government	08/20/1997	05/31/2021	Turbo-shaft	No	52232732	NO	Unknown	Unknown	None	Unknown	None	No
N693BR	7761	BOMBARDIER INC	CL-600-2B19	Fixed Wing Multi-Engine	None	None	2003	Corporation	09/04/2018	09/30/2021	Turbo-fan	No	52233004	NO	GE	CF34 SERIES	05/29/2003	Standard	Transport	No
N693CA	15096	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	10/24/2012	10/31/2021	Turbo-fan	No	52233016	NO	GE	CF34-8C5	11/21/2007	Standard	Transport	Yes
N693DL	29725	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	10/20/1998	08/31/2021	Turbo-fan	No	52233061	NO	P & W	PW2037	10/16/1998	Standard	Transport	Yes
N694DL	29726	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	11/13/1998	11/30/2018	Turbo-fan	No	52234750	NO	P & W	PW2037	11/10/1998	Standard	Transport	Yes
N695	191	GLASFLUGEL	STANDARD LIBELLE	Glider	None	None	1971	Individual	06/13/2017	06/30/2020	None	No	52236510	NO	NONE	NONE	05/20/1980	Experimental	Racing	No
N695CA	15097	BOMBARDIER INC	CL-600-2D24	Fixed Wing Multi-Engine	None	None	2006	Corporation	10/10/2012	10/31/2021	Turbo-fan	No	52236574	NO	GE	CF34-8C5	12/06/2007	Standard	Transport	Yes
N695DL	29727	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1998	Corporation	12/14/1998	05/31/2019	Turbo-fan	No	52236637	NO	P & W	PW2037	12/11/1998	Standard	Transport	Yes
N696	D696	STAAKEN FLUGZEUGBAU	FLITZER Z-21	Fixed Wing Single-Engine	None	None	None	Individual	03/05/2018	03/31/2021	Reciprocating	No	52240377	NO	Unknown	Unknown	None	Unknown	None	No
N696DA	10218	DIAMOND AIRCRAFT IND INC	DA20-A1	Fixed Wing Single-Engine	None	None	1996	Corporation	03/31/2006	12/31/2019	Reciprocating	No	52240514	NO	BOMBARDIER	ROTAX (ALL)	12/06/1997	Standard	Utility	No
N696DL	29728	BOEING	757-232	Fixed Wing Multi-Engine	None	None	1999	Corporation	01/29/1999	06/30/2019	Turbo-fan	No	52240526	NO	P & W	PW2037	01/27/1999	Standard	Transport	Yes
