Tail Number	Serial Number	Manufacturer name	Model	Type Aircraft	Pending Number Change	Date Change Authorized	MFR Year	Type Registration	Certificate Issue Date	Expiration Date	Type Engine	Dealer	Mode S Code (base 8)	Fractional Owner	Engine Manufacturer	Engine Model	A/W Date	Airworthiness Classification	Airworthiness Category	Exception Code
N342	4997	ERCOUPE	415-G	Fixed Wing Single-Engine	None	None	1949	Individual	06/04/2009	08/31/2020	Reciprocating	No	50742273	NO	CONT MOTOR	C85 SERIES	06/14/1956	Standard	None	No
N34222	28931	BOEING	737-824	Fixed Wing Multi-Engine	None	None	1998	Corporation	12/09/1998	01/31/2022	Turbo-fan	No	50743565	NO	CFM INTL.	CFM56 SERIES	12/07/1998	Standard	Transport	Yes
N34282	31634	BOEING	737-824	Fixed Wing Multi-Engine	None	None	2004	Corporation	01/28/2004	04/30/2019	Turbo-fan	No	50744107	NO	CFM INTL.	CFM56 SERIES	01/23/2004	Standard	Transport	Yes
N342NB	1746	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50742752	NO	CFM INTL.	CFM56 SERIES	06/27/2002	Standard	Transport	No
N342NW	381	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1992	Corporation	01/05/2015	01/31/2021	Turbo-fan	No	50742775	NO	GE	CFM56 SERIES	06/25/1996	Standard	Transport	No
N342UA	FL-47	BEECH	B300	Fixed Wing Multi-Engine	None	None	1991	Corporation	11/29/2017	11/30/2020	Turbo-prop	No	50743177	NO	P&W	PT6A SER	03/27/1991	Standard	Normal	No
N343NB	1752	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50744641	NO	CFM INTL.	CFM56 SERIES	07/17/2002	Standard	Transport	No
N343NW	387	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1992	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50744664	NO	CFM INTL.	CFM56 SERIES	07/03/1996	Standard	Transport	No
N34455	41743	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2012	Corporation	06/26/2012	06/30/2021	Turbo-fan	No	50747517	NO	CFM INTL	CFM56-7B26E	06/21/2012	Standard	Transport	Yes
N34460	37200	BOEING	737-924ER	Fixed Wing Multi-Engine	None	None	2012	Corporation	11/05/2012	11/30/2021	Turbo-fan	No	50747555	NO	CFM INTL	CFM56-7B26E	11/02/2012	Standard	Transport	Yes
N344AA	1186	GULFSTREAM AEROSPACE	G-IV	Fixed Wing Multi-Engine	None	None	1992	Corporation	11/12/2015	11/30/2021	Turbo-fan	No	50746053	NO	ROLLS-ROYC	MK511-14	10/28/1998	Standard	Transport	No
N344NB	1766	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	2002	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50746530	NO	CFM INTL.	CFM56 SERIES	07/17/2002	Standard	Transport	No
N344NW	388	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1992	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50746553	NO	CFM INTL.	CFM56 SERIES	03/23/1993	Standard	Transport	No
N345NB	1774	AIRBUS	A319-114	Fixed Wing Multi-Engine	None	None	None	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50750417	NO	Unknown	Unknown	None	Unknown	None	No
N345NW	399	AIRBUS INDUSTRIE	A320-212	Fixed Wing Multi-Engine	None	None	1993	Corporation	12/31/2009	06/30/2019	Turbo-fan	No	50750442	NO	GE	CFM56 SERIES	07/10/1996	Standard	Transport	No
N345SA	23786	BOEING	737-3K2	Fixed Wing Multi-Engine	None	None	1987	Corporation	11/07/2016	11/30/2019	Turbo-fan	No	50750562	NO	CFM INTL.	CFM56 SERIES	01/31/2000	Standard	Transport	No
N346	10056C	MAULE	MX-7-235	Fixed Wing Single-Engine	None	None	1987	Individual	02/22/2008	07/31/2019	Reciprocating	No	50751627	NO	LYCOMING	0-540 SERIES	05/01/1987	Standard	Normal	No
N346JB	19000504	EMBRAER	ERJ 190-100 IGW	Fixed Wing Multi-Engine	None	None	2011	Corporation	01/24/2012	01/31/2021	Turbo-fan	No	50752142	NO	GE	CF34-10E6	01/25/2012	Standard	Transport	Yes
